"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
19.12.2020;2819429;2254742;50347;585;28209;26109;28209;585
26.10.2021;8316019;7213584;232775;1106;36446;26973;36446;1106
02.11.2020;1655038;1236033;28473;238;18257;10360;18257;238
27.09.2021;7443149;6618117;204679;779;22236;13513;22236;779
27.11.2020;2215533;1712174;38558;496;27543;26682;27543;496
05.11.2021;8714595;7505971;244447;1192;40735;28605;40735;1192
24.11.2020;2138828;1634671;37031;491;24326;23226;24326;491
17.09.2021;7234425;6469017;196626;791;19905;16619;19905;791
03.02.2022;12284564;10390732;333357;667;155768;53724;155768;667
07.08.2022;18712699;18039355;382741;44;20303;8729;20303;44
02.03.2022;16592824;13931995;353230;784;97455;183530;97455;784
17.09.2022;20382344;19344838;385944;107;58305;49962;58305;107
20.10.2020;1431635;1085608;24635;269;16319;9704;16319;269
05.04.2021;4589540;4211133;100717;343;8646;7052;8646;343
26.08.2020;970865;786150;16683;115;4676;6403;4676;115
31.03.2021;4545095;4166172;98850;408;8275;10176;8275;408
29.03.2022;17803503;16737206;368025;339;19660;47229;19660;339
31.03.2020;2337;121;17;8;501;55;501;8
15.05.2022;18260293;17647179;377670;99;4956;6200;4956;99
20.04.2022;18101986;17423428;374171;223;9195;16200;9195;223
21.03.2020;306;16;0;0;53;4;53;0
23.04.2022;18128691;17464120;374734;171;8829;13030;8829;171
06.10.2020;1237504;988576;21663;188;11615;6252;11615;188
23.04.2021;4744961;4371214;107501;398;8840;9407;8840;398
09.09.2020;1041007;856458;18135;142;5218;6409;5218;142
13.03.2021;4380525;3985897;91695;475;9908;12868;9908;475
19.06.2020;569063;324406;7841;181;7972;10443;7972;181
30.05.2021;5063442;4677870;121162;355;9694;7386;9694;355
21.08.2020;946976;761330;16189;90;4870;5817;4870;90
12.06.2021;5193964;4792169;126073;399;13510;9986;13510;399
14.07.2022;18476477;17900518;381754;43;4238;3090;4238;43
